species,lat,lon,country,eventDate,basisOfRecord,presence
Apis mellifera,-1.264439,36.808658,Kenya,2022-06-19T14:34:07,HUMAN_OBSERVATION,1
Apis mellifera,-1.325453,35.115697,Kenya,2022-06-26T00:33,HUMAN_OBSERVATION,1
Apis mellifera,0.531637,35.916107,Kenya,2022-07-02T16:01:52,HUMAN_OBSERVATION,1
Apis mellifera,-1.334235,36.715377,Kenya,2022-07-02T13:47,HUMAN_OBSERVATION,1
Apis mellifera,-1.225688,36.823007,Kenya,2022-07-10T15:08,HUMAN_OBSERVATION,1
Apis mellifera,0.530239,35.93189,Kenya,2022-07-10T15:05:58,HUMAN_OBSERVATION,1
Apis mellifera,0.601363,36.004593,Kenya,2022-07-19T16:10:41,HUMAN_OBSERVATION,1
Apis mellifera,0.552979,35.939459,Kenya,2022-07-17T14:04:23,HUMAN_OBSERVATION,1
Apis mellifera,0.565566,35.986487,Kenya,2022-07-10T08:26:21,HUMAN_OBSERVATION,1
Apis mellifera,-1.099905,35.956158,Kenya,2022-07-22T12:25:40,HUMAN_OBSERVATION,1
Apis mellifera,-1.223645,36.897227,Kenya,2022-07-30T17:17,HUMAN_OBSERVATION,1
Apis mellifera,-0.454146,37.234841,Kenya,2022-08-10T13:14,HUMAN_OBSERVATION,1
Apis mellifera,-0.492122,37.458298,Kenya,2022-08-16T13:12,HUMAN_OBSERVATION,1
Apis mellifera,-2.599895,37.247527,Kenya,2022-08-09T11:31,HUMAN_OBSERVATION,1
Apis mellifera,-1.221918,36.896648,Kenya,2022-08-01T12:46,HUMAN_OBSERVATION,1
Apis mellifera,-4.334558,39.569447,Kenya,2022-09-21T14:12:30,HUMAN_OBSERVATION,1
Apis mellifera,-1.222706,36.897254,Kenya,2022-09-23T12:53,HUMAN_OBSERVATION,1
